Fraud Filters,ตัวกรองการฉ้อโกง
Fraud Detection,การตรวจสอบการทุจริต
FDS Filter Action,การดำเนินการตัวกรอง FDS
failed.,ล้มเหลว
Expiration Date,วันหมดอายุ
Enabled,เปิดการใช้งาน
Email Customer,อีเมลลูกค้า
Electronic payments save the trees.,การชำระเงินทางอิเล็กทรอนิกส์ช่วยลดการใช้กระดาษ
Debug,ตรวจแก้จุดบกพร่อง
Credit Card Verification,การยืนยันบัตรเครดิต
Credit Card Types,ประเภทบัตรเครดิต
Credit Card Type,ประเภทบัตรเครดิต
Credit Card Number,หมายเลขบัตรเครดิต
Credit Card: xxxx-%1,บัตรเครดิต: xxxx-%1
CAVV Response,การตอบสนอง CAVV
Card Verification Number,หมายเลขยืนยันบัตร
Card Code Response,การตอบสนองรหัสบัตร
capture,การจับภาพ
AVS Response,การตอบสนอง AVS
Authorize Only,ให้สิทธิ์เท่านั้น
Authorize.Net Transaction ID %1.,Authorize.Net ID ธุรกรรม %1.
Authorize.net Direct Post,Authorize.net โพสต์โดยตรง
authorize and capture,อนุมัติและจับภาพ
Authorize and Capture,อนุมัติและจับภาพ
authorize,อนุญาต
API Login ID,รหัสเข้าสู่ระบบ API
An error occurred on the server. Please try to place the order again.,เกิดข้อผิดพลาดขึ้นบนเซิร์ฟเวอร์ โปรดลองสั่งซื้ออีกครั้ง
amount %1,จำนวน %1
Accepted Currency,สกุลเงินที่ยอมรับ
ZIP/Postal Code,รหัสไปรษณีย์
YTD,YTD
You will have to sign in after you save your custom admin path.,คุณจะต้องลงชื่อเข้าใช้หลังจากที่คุณบันทึกเส้นทางผู้ดูแลระบบที่กำหนดเองแล้ว
You saved the website.,คุณบันทึกเว็บไซต์แล้ว
You saved the store view.,คุณบันทึกมุมมองการจัดเก็บ
You saved the store.,คุณบันทึกร้านแล้ว
You saved the design change.,คุณบันทึกที่อยู่แล้ว
You saved the account.,คุณบันทึกบัญชีแล้ว
Your Password,รหัสผ่านของคุณ
You need more permissions to do this.,คุณต้องมีสิทธิ์เพิ่มเติมในการดำเนินการนี้
You need more permissions to access this.,คุณต้องการสิทธิ์เพิ่มเติมในการเข้าถึงข้อมูลนี้
